,0,1,2,3,4,5,6,7,8,9
10,19,27,42,39,23,21,33,26,15,14
60,270,300,272,331,209,246,279,229,336,238
110,534,500,930,452,563,806,549,605,582,553
160,722,994,1086,870,661,820,1083,749,921,756
210,1332,1444,872,1490,1074,1424,1296,869,1217,967
260,1793,1639,1263,1436,1660,1577,1367,1165,1137,1435
310,1522,2301,1928,2134,2254,2041,1502,2565,1692,2332
360,2270,1800,2334,2145,2182,2867,1860,1488,2106,2688
410,2423,3231,2053,3219,2129,2808,2986,3021,2018,2271
460,2964,2981,3004,3214,2639,2647,2986,2996,2392,2697
510,2824,4167,5490,3762,3394,2571,4222,5234,2788,3366
560,3798,2542,4020,3951,3155,3325,3639,4714,3692,3371
610,4376,3341,5027,4110,4429,4212,5303,4102,4385,3802
660,5020,4652,5724,4428,4949,4518,5100,4004,4849,4592
710,5358,4883,5184,4984,5405,4296,3509,4358,4816,4549
760,4819,5529,5749,7930,4845,6070,4724,5813,6669,4688
810,4718,5815,5066,4957,5537,5309,5349,4988,5398,9463
860,5647,7659,5583,6388,5424,8145,4764,7777,7704,4974
910,5415,5835,8345,5811,9732,5265,6121,4598,6754,8311
960,6552,6853,8546,5399,5890,6359,7770,6356,8173,7772
1010,7940,6662,8472,8643,7601,6750,7452,7600,6244,7490
1060,6792,8571,8450,6502,6815,15086,6696,7590,7466,6267
1110,10402,10790,11895,8003,6508,8643,8116,8011,8387,6770
1160,7549,7344,8806,7700,9598,9300,7029,8417,9688,12545
1210,8307,8739,8152,11027,10535,8008,7847,7447,9085,8694
1260,10208,9496,11200,10523,9177,7386,9288,9410,11075,8874
1310,10323,12069,10915,8834,9063,8693,9395,9330,9212,8813
1360,9349,8985,11061,12905,11399,10558,11018,8671,10131,12903
1410,9438,11375,10211,13628,12759,9770,10368,8905,11320,12004
1460,9704,13043,11635,10926,11118,9604,11674,15699,11113,10787
1510,12646,12036,11069,13126,9809,12716,14379,10824,8366,11936
1560,11914,19633,13154,10131,18360,12192,12779,13368,14084,12696
1610,13647,11172,12844,8947,11899,15177,10285,13895,10889,14451
1660,11814,11180,13498,15929,11087,11323,12827,11042,14079,12108
1710,11711,12993,15274,14230,13590,17820,12405,12806,14661,12219
1760,13811,11849,13450,14618,10439,14733,12368,13824,16001,13977
1810,16684,14284,14099,14463,17366,16195,14664,16600,13606,13515
1860,13072,15681,18449,13168,15669,12710,14448,14200,12671,12780
1910,20437,12508,14414,17199,17373,16662,25273,12134,16252,18009
1960,13518,14042,13830,17398,16012,22127,18272,13726,14446,25442
